Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2449918.29570 14.6760 0.0150 MACHO
2449922.23790 14.6960 0.0150 MACHO
2449930.24310 14.6400 0.0160 MACHO
2449932.31220 14.6930 0.0160 MACHO
2449939.14010 14.5960 0.0160 MACHO
2449940.16750 14.6360 0.0150 MACHO
2449941.30530 14.6820 0.0150 MACHO
2449942.14840 14.7050 0.0150 MACHO
2449943.22110 14.6580 0.0150 MACHO
2449944.21400 14.6120 0.0150 MACHO
2449945.23720 14.6320 0.0150 MACHO
2449946.24890 14.6780 0.0160 MACHO
2449947.30560 14.6880 0.0150 MACHO
2449950.11250 14.6370 0.0150 MACHO
2449952.13270 14.6940 0.0160 MACHO
2449954.13050 14.6090 0.0150 MACHO
2449955.21820 14.6270 0.0150 MACHO
2449958.08260 14.6720 0.0150 MACHO
2449962.09600 14.7050 0.0150 MACHO
2449964.27780 14.6110 0.0150 MACHO
2449966.14150 14.6750 0.0160 MACHO
2449967.19420 14.6880 0.0150 MACHO
2449968.18530 14.6440 0.0150 MACHO
2449971.05200 14.6850 0.0150 MACHO
2449973.06560 14.6620 0.0150 MACHO
2449975.26820 14.6450 0.0150 MACHO
2449981.09320 14.6740 0.0150 MACHO
2449982.11490 14.7070 0.0160 MACHO
2449983.02800 14.6760 0.0150 MACHO
2449987.10240 14.6970 0.0150 MACHO
2449988.03870 14.6560 0.0150 MACHO
2449995.06790 14.6450 0.0150 MACHO
2449995.27400 14.6430 0.0150 MACHO
2449997.10180 14.6900 0.0150 MACHO
2449998.15850 14.6220 0.0150 MACHO
2449999.18210 14.6100 0.0150 MACHO
2450004.11680 14.6230 0.0150 MACHO
2450006.09710 14.6680 0.0150 MACHO
2450007.08320 14.6810 0.0150 MACHO
2450008.16520 14.6070 0.0150 MACHO
2450014.05030 14.6160 0.0150 MACHO
2450020.20990 14.6420 0.0150 MACHO
2450022.15210 14.6800 0.0150 MACHO
2450030.02800 14.6380 0.0150 MACHO
2450032.13090 14.6780 0.0180 MACHO
2450037.02960 14.7060 0.0150 MACHO
2450039.23110 14.6190 0.0150 MACHO
2450046.08890 14.6840 0.0150 MACHO
2450047.07410 14.6710 0.0150 MACHO
2450048.14930 14.6040 0.0150 MACHO
2450049.16770 14.6220 0.0150 MACHO
2450055.18800 14.6520 0.0150 MACHO
2450058.05450 14.5960 0.0150 MACHO
2450059.06550 14.6200 0.0150 MACHO
2450062.06410 14.6720 0.0150 MACHO
2450064.03450 14.6210 0.0150 MACHO
2450067.06770 14.7270 0.0150 MACHO
2450072.00400 15.0930 0.0150 MACHO
2450073.06640 14.9720 0.0150 MACHO
2450075.03850 14.9430 0.0150 MACHO
2450078.10730 14.6170 0.0150 MACHO
2450087.22530 14.6700 0.0150 MACHO
2450090.04400 14.7130 0.0150 MACHO
2450092.07630 14.6680 0.0150 MACHO
2450096.07010 14.6940 0.0150 MACHO
2450100.18350 14.6590 0.0150 MACHO
2450102.12360 14.6670 0.0150 MACHO
2450106.08000 14.6880 0.0150 MACHO
2450108.08500 14.5910 0.0150 MACHO
2450109.08110 14.6150 0.0150 MACHO
2450124.03240 14.6230 0.0150 MACHO
